['1.bmp', '241', '212', '298', '177']

['10.bmp', '152', '479', '266', '413']

['100.bmp', '449', '439', '549', '193']

['101.bmp', '415', '342', '526', '167']

['102.bmp', '170', '408', '434', '166']

['103.bmp', '278', '385', '510', '111']

['104.bmp', '153', '480', '439', '204']

['105.bmp', '246', '479', '485', '228']

['106.bmp', '75', '481', '370', '288']

['107.bmp', '50', '479', '322', '302']

['108.bmp', '368', '478', '548', '226']

['109.bmp', '452', '458', '550', '217']

['11.bmp', '363', '362', '534', '118']

['110.bmp', '420', '473', '549', '211']

['111.bmp', '381', '404', '548', '139']

['112.bmp', '421', '331', '549', '106']

['113.bmp', '159', '402', '410', '170']

['114.bmp', '115', '327', '330', '149']

['115.bmp', '122', '312', '249', '200']

['116.bmp', '146', '305', '238', '202']

['117.bmp', '465', '331', '550', '180']

['118.bmp', '445', '340', '545', '173']

['119.bmp', '425', '390', '499', '198']

['12.bmp', '14', '460', '106', '333']

['120.bmp', '464', '325', '540', '129']

['121.bmp', '389', '448', '551', '38']

['122.bmp', '382', '395', '549', '22']

['123.bmp', '389', '373', '551', '27']

['124.bmp', '258', '481', '535', '232']

['125.bmp', '306', '482', '548', '178']

['126.bmp', '260', '482', '506', '249']

['127.bmp', '351', '426', '550', '149']

['128.bmp', '424', '312', '550', '90']

['129.bmp', '212', '407', '480', '135']

['13.bmp', '46', '395', '129', '286']

['130.bmp', '232', '402', '491', '136']

['131.bmp', '117', '336', '342', '151']

['132.bmp', '397', '406', '509', '225']

['133.bmp', '364', '426', '495', '248']

['134.bmp', '413', '381', '533', '183']

['135.bmp', '391', '422', '522', '216']

['136.bmp', '351', '462', '507', '245']

['137.bmp', '151', '480', '440', '215']

['138.bmp', '241', '482', '489', '222']

['139.bmp', '363', '479', '550', '218']

['14.bmp', '220', '430', '347', '294']

['140.bmp', '341', '481', '542', '242']

['141.bmp', '337', '450', '531', '208']

['142.bmp', '335', '454', '524', '210']

['143.bmp', '450', '454', '549', '209']

['144.bmp', '312', '480', '539', '216']

['145.bmp', '251', '479', '502', '221']

['146.bmp', '445', '473', '551', '205']

['147.bmp', '404', '479', '550', '210']

['148.bmp', '47', '476', '324', '300']

['149.bmp', '181', '279', '363', '69']

['15.bmp', '346', '413', '449', '288']

['150.bmp', '191', '311', '357', '138']

['151.bmp', '164', '302', '307', '173']

['152.bmp', '233', '324', '367', '208']

['153.bmp', '270', '366', '422', '252']

['154.bmp', '250', '420', '379', '304']

['155.bmp', '195', '266', '306', '148']

['156.bmp', '245', '475', '355', '376']

['157.bmp', '201', '445', '294', '356']

['158.bmp', '167', '418', '260', '334']

['159.bmp', '180', '339', '282', '253']

['16.bmp', '287', '416', '454', '210']

['160.bmp', '182', '262', '282', '185']

['161.bmp', '184', '237', '291', '158']

['162.bmp', '113', '228', '207', '161']

['163.bmp', '127', '310', '239', '220']

['164.bmp', '113', '372', '237', '273']

['165.bmp', '121', '399', '256', '289']

['166.bmp', '126', '456', '270', '327']

['167.bmp', '136', '465', '244', '369']

['168.bmp', '139', '466', '241', '376']

['169.bmp', '217', '459', '356', '354']

['17.bmp', '266', '346', '420', '175']

['170.bmp', '183', '470', '365', '323']

['171.bmp', '129', '480', '418', '265']

['172.bmp', '253', '223', '371', '138']

['173.bmp', '164', '223', '287', '122']

['174.bmp', '160', '227', '275', '138']

['175.bmp', '227', '381', '357', '265']

