['01-0001_mask.png', '186', '73', '232', '37']

['01-0002_mask.png', '186', '75', '232', '37']

['01-0003_mask.png', '188', '74', '235', '36']

['01-0004_mask.png', '189', '73', '236', '35']

['01-0005_mask.png', '191', '73', '238', '35']

['01-0006_mask.png', '198', '75', '246', '36']

['01-0007_mask.png', '198', '74', '243', '35']

['01-0008_mask.png', '199', '73', '246', '33']

['01-0009_mask.png', '202', '74', '249', '33']

['01-0010_mask.png', '203', '74', '251', '32']

['01-0011_mask.png', '203', '72', '252', '31']

['01-0012_mask.png', '203', '71', '252', '33']

['01-0013_mask.png', '203', '71', '251', '33']

['01-0014_mask.png', '206', '71', '254', '32']

['01-0015_mask.png', '206', '71', '255', '32']

['01-0016_mask.png', '206', '71', '255', '33']

['01-0017_mask.png', '206', '71', '255', '33']

['01-0018_mask.png', '207', '72', '254', '33']

['01-0019_mask.png', '207', '72', '254', '33']

['01-0020_mask.png', '210', '73', '257', '34']

['01-0021_mask.png', '212', '73', '259', '34']

['01-0022_mask.png', '215', '75', '262', '36']

['01-0023_mask.png', '214', '77', '261', '39']

['01-0024_mask.png', '211', '81', '258', '42']

['01-0025_mask.png', '211', '84', '258', '45']

['01-0026_mask.png', '211', '87', '258', '49']

['01-0027_mask.png', '207', '90', '254', '50']

['01-0028_mask.png', '200', '91', '247', '51']

['01-0029_mask.png', '194', '95', '239', '53']

['01-0030_mask.png', '190', '96', '236', '54']

['01-0031_mask.png', '185', '99', '230', '56']

['01-0032_mask.png', '180', '102', '226', '60']

['01-0033_mask.png', '176', '103', '220', '62']

['01-0034_mask.png', '171', '106', '216', '65']

['01-0035_mask.png', '168', '106', '209', '65']

['01-0036_mask.png', '163', '108', '204', '67']

['01-0037_mask.png', '158', '109', '199', '67']

['01-0038_mask.png', '155', '109', '196', '68']

['01-0039_mask.png', '152', '111', '193', '70']

['01-0040_mask.png', '150', '111', '187', '72']

['01-0041_mask.png', '147', '112', '186', '73']

['01-0042_mask.png', '145', '111', '181', '74']

['01-0043_mask.png', '144', '111', '181', '74']

['01-0044_mask.png', '144', '111', '181', '75']

['01-0045_mask.png', '144', '112', '180', '75']

['01-0046_mask.png', '145', '111', '181', '74']

['01-0047_mask.png', '146', '111', '182', '74']

['01-0048_mask.png', '146', '112', '182', '75']

['01-0049_mask.png', '146', '115', '182', '78']

['01-0050_mask.png', '144', '113', '177', '78']

['01-0051_mask.png', '147', '114', '178', '81']

['01-0052_mask.png', '150', '115', '191', '79']

['01-0053_mask.png', '160', '114', '202', '78']

['01-0054_mask.png', '166', '115', '208', '79']

['01-0055_mask.png', '173', '114', '213', '78']

['01-0056_mask.png', '174', '116', '213', '82']

['01-0057_mask.png', '175', '116', '214', '81']

['01-0058_mask.png', '176', '114', '214', '80']

['01-0059_mask.png', '181', '114', '220', '79']

['01-0060_mask.png', '183', '113', '222', '78']

['01-0061_mask.png', '185', '115', '225', '79']

['01-0062_mask.png', '187', '114', '226', '79']

['01-0063_mask.png', '190', '114', '229', '78']

['01-0064_mask.png', '201', '117', '240', '81']

['01-0065_mask.png', '211', '117', '250', '82']

['01-0066_mask.png', '214', '117', '252', '81']

['01-0067_mask.png', '216', '117', '255', '81']

['01-0068_mask.png', '218', '116', '256', '82']

['01-0069_mask.png', '220', '115', '259', '81']

['01-0070_mask.png', '220', '112', '259', '79']

['01-0071_mask.png', '220', '110', '260', '75']

['01-0072_mask.png', '223', '109', '258', '75']

['01-0073_mask.png', '223', '109', '258', '75']

['01-0074_mask.png', '220', '109', '255', '75']

['01-0075_mask.png', '219', '107', '254', '74']

['01-0076_mask.png', '220', '107', '256', '74']

['01-0077_mask.png', '221', '107', '256', '76']

['01-0078_mask.png', '219', '108', '254', '77']

['01-0079_mask.png', '216', '107', '252', '75']

['01-0080_mask.png', '217', '107', '250', '76']

['01-0081_mask.png', '218', '107', '250', '78']

['01-0082_mask.png', '218', '109', '250', '80']

['01-0083_mask.png', '215', '108', '247', '79']

['01-0084_mask.png', '219', '109', '251', '81']

['01-0085_mask.png', '218', '108', '250', '79']

['01-0086_mask.png', '216', '104', '248', '75']

['01-0087_mask.png', '214', '101', '246', '72']

['01-0088_mask.png', '214', '98', '244', '69']

['01-0089_mask.png', '213', '97', '243', '69']

['01-0090_mask.png', '212', '97', '242', '68']

['01-0091_mask.png', '210', '96', '240', '68']

['01-0092_mask.png', '209', '95', '239', '68']

['01-0093_mask.png', '208', '95', '238', '68']

