['10_mask.tif', '751', '822', '1119', '300']

['11_mask.tif', '676', '524', '861', '194']

['12_mask.tif', '602', '942', '1302', '453']

['13_mask.tif', '670', '1050', '1154', '260']

['14_mask.tif', '736', '853', '982', '502']

['15_mask.tif', '844', '813', '1063', '467']

['16_mask.tif', '710', '899', '934', '610']

['17_mask.tif', '502', '966', '856', '725']

['18_mask.tif', '1001', '840', '1587', '208']

['19_mask.tif', '902', '738', '1562', '37']

['1_mask.tif', '744', '509', '1064', '347']

['20_mask.tif', '763', '449', '1128', '35']

['21_mask.tif', '962', '256', '964', '255']

['22_mask.tif', '718', '617', '1208', '353']

['23_mask.tif', '692', '698', '1100', '304']

['24_mask.tif', '770', '979', '1217', '316']

['25_mask.tif', '843', '791', '1089', '382']

['26_mask.tif', '743', '553', '954', '242']

['27_mask.tif', '512', '1050', '1430', '292']

['28_mask.tif', '864', '869', '1409', '175']

['29_mask.tif', '855', '604', '1512', '257']

['2_mask.tif', '773', '366', '915', '137']

['30_mask.tif', '437', '522', '1175', '43']

['31_mask.tif', '894', '686', '1127', '463']

['32_mask.tif', '766', '1043', '1806', '308']

['33_mask.tif', '691', '395', '1022', '186']

['34_mask.tif', '869', '853', '1107', '627']

['35_mask.tif', '1035', '1032', '1533', '576']

['36_mask.tif', '1051', '891', '1319', '701']

['37_mask.tif', '717', '1046', '1277', '450']

['38_mask.tif', '855', '916', '1510', '152']

['39_mask.tif', '1285', '970', '1579', '727']

['3_mask.tif', '1169', '418', '1493', '154']

['40_mask.tif', '769', '861', '1733', '190']

['41_mask.tif', '1121', '602', '1385', '392']

['42_mask.tif', '734', '1080', '1593', '482']

['43_mask.tif', '690', '998', '1510', '484']

['44_mask.tif', '931', '874', '1375', '460']

['45_mask.tif', '891', '840', '1470', '429']

['46_mask.tif', '1514', '594', '1706', '377']

['47_mask.tif', '546', '856', '1310', '186']

['48_mask.tif', '870', '692', '1501', '92']

['49_mask.tif', '552', '766', '1007', '280']

['4_mask.tif', '1160', '401', '1316', '202']

['50_mask.tif', '729', '865', '1382', '52']

['51_mask.tif', '1085', '872', '1619', '345']

['52_mask.tif', '862', '636', '1386', '165']

['53_mask.tif', '660', '671', '1141', '239']

['54_mask.tif', '1126', '658', '1678', '298']

['55_mask.tif', '1065', '879', '1650', '417']

['56_mask.tif', '1113', '860', '1692', '615']

['5_mask.tif', '1003', '547', '1133', '395']

['6_mask.tif', '1043', '519', '1232', '318']

['7_mask.tif', '878', '673', '1317', '367']

['8_mask.tif', '876', '684', '1155', '538']

['9_mask.tif', '750', '727', '1020', '272']

